"","X","age","voted","party","registered","method_vote"
"1383",1383,51,"yes","Republican","Yes","In person on election day"
"1384",1384,49,"yes","Republican","Yes","In person on election day"
"1385",1385,61,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1386",1386,27,"NAorMissing","Other","Yes","Dontknow_skipped_notasked"
"1387",1387,44,"yes","Independent","Yes","In person on election day"
"1388",1388,55,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1389",1389,60,"yes","Republican","Yes","In person on election day"
"1390",1390,71,"yes","Republican","Yes","Voted by mail or absentee"
"1391",1391,47,"yes","Independent","Yes","In person early"
"1392",1392,74,"yes","Independent","Yes","In person on election day"
"1393",1393,78,"yes","Republican","Yes","In person on election day"
"1394",1394,62,"yes","Democrat","Yes","In person on election day"
"1395",1395,32,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1396",1396,32,"yes","Independent","Yes","Voted by mail or absentee"
"1397",1397,49,"yes","Independent","Yes","In person early"
"1398",1398,78,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1399",1399,61,"yes","Independent","Yes","In person on election day"
"1400",1400,69,"yes","Democrat","Yes","In person on election day"
"1401",1401,64,"yes","Republican","Yes","In person on election day"
"1402",1402,24,"no","Other","Yes","Dontknow_skipped_notasked"
"1403",1403,60,"yes","Independent","Yes","In person on election day"
"1404",1404,60,"no","Democrat","Yes","Dontknow_skipped_notasked"
"1405",1405,31,"yes","Republican","Yes","In person on election day"
"1406",1406,49,"yes","Republican","Yes","In person on election day"
"1407",1407,28,"yes","Independent","Yes","In person early"
"1408",1408,37,"yes","Republican","Yes","In person on election day"
"1409",1409,59,"yes","Other","Yes","In person on election day"
"1410",1410,44,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1411",1411,54,"yes","Independent","Yes","In person early"
"1412",1412,50,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1413",1413,56,"yes","Other","Yes","In person on election day"
"1414",1414,84,"yes","Republican","Yes","In person on election day"
"1415",1415,26,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1416",1416,60,"yes","Democrat","Yes","In person early"
"1417",1417,55,"yes","Republican","Yes","In person on election day"
"1418",1418,76,"yes","Democrat","Yes","In person on election day"
"1419",1419,26,"yes","Independent","Yes","In person on election day"
"1420",1420,55,"yes","Republican","Yes","Voted by mail or absentee"
"1421",1421,69,"yes","Democrat","Yes","Voted by mail or absentee"
"1422",1422,76,"yes","Republican","Yes","In person on election day"
"1423",1423,74,"yes","Democrat","Yes","Voted by mail or absentee"
"1424",1424,31,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1425",1425,48,"yes","Independent","Yes","In person early"
"1426",1426,64,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1427",1427,70,"yes","Republican","Yes","In person on election day"
"1428",1428,60,"yes","Independent","Yes","In person early"
"1429",1429,73,"yes","Democrat","Yes","In person on election day"
"1430",1430,69,"yes","Republican","Yes","Voted by mail or absentee"
"1431",1431,73,"yes","Republican","Yes","Voted by mail or absentee"
"1432",1432,80,"yes","Democrat","Yes","In person on election day"
"1433",1433,85,"yes","Independent","Yes","Voted by mail or absentee"
"1434",1434,25,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1435",1435,68,"yes","Democrat","Yes","In person on election day"
"1436",1436,43,"yes","Democrat","Yes","In person on election day"
"1437",1437,73,"no","Democrat","Yes","Dontknow_skipped_notasked"
"1438",1438,63,"yes","Democrat","Yes","In person on election day"
"1439",1439,43,"yes","Democrat","Yes","Voted by mail or absentee"
"1440",1440,72,"yes","Republican","Yes","In person early"
"1441",1441,63,"yes","Democrat","Yes","Voted by mail or absentee"
"1442",1442,75,"yes","Independent","Yes","In person on election day"
"1443",1443,54,"yes","Republican","Yes","Voted by mail or absentee"
"1444",1444,28,"yes","Independent","Yes","In person on election day"
"1445",1445,76,"yes","Independent","Yes","In person early"
"1446",1446,74,"yes","Democrat","Yes","In person on election day"
"1447",1447,79,"yes","Democrat","Yes","In person on election day"
"1448",1448,32,"yes","Independent","Yes","In person on election day"
"1449",1449,68,"yes","Democrat","Yes","In person on election day"
"1450",1450,57,"yes","Independent","Yes","In person early"
"1451",1451,45,"yes","Independent","Yes","In person on election day"
"1452",1452,54,"yes","Republican","Yes","In person on election day"
"1453",1453,32,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1454",1454,57,"yes","Independent","Yes","In person on election day"
"1455",1455,43,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1456",1456,70,"yes","Independent","Yes","In person on election day"
"1457",1457,29,"yes","Independent","Yes","Voted by mail or absentee"
"1458",1458,62,"yes","Independent","Yes","Voted by mail or absentee"
"1459",1459,56,"yes","Democrat","Yes","In person on election day"
"1460",1460,31,"yes","Independent","Yes","In person on election day"
"1461",1461,73,"yes","Democrat","Yes","Voted by mail or absentee"
"1462",1462,59,"yes","Republican","Yes","Voted by mail or absentee"
"1463",1463,61,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1464",1464,34,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1465",1465,33,"yes","Democrat","Yes","In person early"
"1466",1466,43,"yes","Independent","Yes","In person on election day"
"1467",1467,76,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1468",1468,77,"yes","Independent","Yes","In person on election day"
"1469",1469,55,"yes","Independent","Yes","In person on election day"
"1470",1470,35,"yes","Independent","Yes","Voted by mail or absentee"
"1471",1471,76,"yes","Democrat","Yes","In person on election day"
"1472",1472,48,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1473",1473,54,"yes","Democrat","Yes","Voted by mail or absentee"
"1474",1474,47,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1475",1475,29,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1476",1476,50,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1477",1477,62,"yes","Democrat","Yes","In person on election day"
"1478",1478,26,"yes","Democrat","Yes","Voted by mail or absentee"
"1479",1479,60,"yes","Democrat","Yes","In person on election day"
"1480",1480,33,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1481",1481,52,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1482",1482,48,"yes","Democrat","Yes","Voted by mail or absentee"
"1483",1483,31,"yes","Independent","Yes","In person on election day"
"1484",1484,39,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1485",1485,57,"yes","Republican","Yes","In person on election day"
"1486",1486,47,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1487",1487,52,"yes","Democrat","Yes","In person early"
"1488",1488,32,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1489",1489,31,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1490",1490,34,"no","Independent","Yes","Dontknow_skipped_notasked"
"1491",1491,34,"yes","Republican","Yes","Voted by mail or absentee"
"1492",1492,27,"yes","Independent","Yes","In person on election day"
"1493",1493,65,"yes","Independent","Yes","In person on election day"
"1494",1494,27,"yes","Republican","Yes","Voted by mail or absentee"
"1495",1495,30,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1496",1496,28,"yes","Democrat","Yes","In person early"
"1497",1497,64,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1498",1498,30,"yes","Independent","Yes","In person on election day"
"1499",1499,29,"yes","Republican","Yes","In person on election day"
"1500",1500,29,"yes","Independent","Yes","In person on election day"
"1501",1501,31,"yes","Independent","Yes","In person on election day"
"1502",1502,31,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1503",1503,58,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1504",1504,30,"yes","Independent","Yes","Voted by mail or absentee"
"1505",1505,52,"yes","Republican","Yes","In person on election day"
"1506",1506,68,"yes","Independent","Yes","In person on election day"
"1507",1507,49,"yes","Democrat","Yes","In person on election day"
"1508",1508,33,"yes","Independent","Yes","In person on election day"
"1509",1509,44,"yes","Democrat","Yes","In person on election day"
"1510",1510,55,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1511",1511,59,"yes","Democrat","Yes","In person on election day"
"1512",1512,44,"yes","Democrat","Yes","In person on election day"
"1513",1513,40,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1514",1514,47,"yes","Democrat","Yes","In person on election day"
"1515",1515,60,"yes","Republican","Yes","Voted by mail or absentee"
"1516",1516,65,"yes","Democrat","Yes","In person on election day"
"1517",1517,47,"yes","Republican","Yes","In person on election day"
"1518",1518,50,"yes","Democrat","Yes","In person on election day"
"1519",1519,56,"yes","Republican","Yes","In person on election day"
"1520",1520,60,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1521",1521,28,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1522",1522,71,"yes","Other","Yes","Voted by mail or absentee"
"1523",1523,75,"yes","Democrat","Yes","In person on election day"
"1524",1524,54,"yes","Independent","Yes","In person on election day"
"1525",1525,56,"no","Republican","Yes","Dontknow_skipped_notasked"
"1526",1526,35,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1527",1527,37,"yes","Independent","Yes","In person on election day"
"1528",1528,34,"yes","Independent","Yes","Voted by mail or absentee"
"1529",1529,31,"yes","Republican","Yes","In person on election day"
"1530",1530,53,"yes","Independent","Yes","In person on election day"
"1531",1531,29,"yes","Democrat","Yes","In person on election day"
"1532",1532,30,"yes","Other","Yes","In person on election day"
"1533",1533,59,"yes","Democrat","Yes","In person on election day"
"1534",1534,28,"yes","Republican","Yes","In person on election day"
"1535",1535,34,"yes","Democrat","Yes","In person on election day"
"1536",1536,31,"yes","Independent","Yes","In person on election day"
"1537",1537,31,"yes","Republican","Yes","In person on election day"
"1538",1538,31,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1539",1539,49,"yes","Republican","Yes","In person on election day"
"1540",1540,68,"yes","Independent","Yes","In person on election day"
"1541",1541,33,"yes","Democrat","Yes","In person on election day"
"1542",1542,30,"yes","Republican","Yes","In person on election day"
"1543",1543,59,"yes","Democrat","Yes","Voted by mail or absentee"
"1544",1544,45,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1545",1545,30,"yes","Democrat","Yes","In person on election day"
"1546",1546,62,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1547",1547,71,"yes","Republican","Yes","Voted by mail or absentee"
"1548",1548,78,"yes","Democrat","Yes","Voted by mail or absentee"
"1549",1549,30,"yes","Democrat","Yes","In person on election day"
"1550",1550,46,"yes","Republican","Yes","In person on election day"
"1551",1551,66,"yes","Democrat","Yes","In person on election day"
"1552",1552,24,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1553",1553,34,"yes","Democrat","Yes","Voted by mail or absentee"
"1554",1554,35,"yes","NAorMissing","No","In person on election day"
"1555",1555,65,"yes","Independent","Yes","In person on election day"
"1556",1556,26,"yes","Democrat","Yes","Voted by mail or absentee"
"1557",1557,53,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1558",1558,35,"yes","Democrat","Yes","In person on election day"
"1559",1559,55,"yes","Democrat","Yes","In person early"
"1560",1560,45,"yes","Independent","Yes","In person on election day"
"1561",1561,27,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1562",1562,31,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1563",1563,61,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1564",1564,35,"yes","Democrat","Yes","In person on election day"
"1565",1565,25,"yes","Democrat","Yes","In person on election day"
"1566",1566,34,"yes","Independent","Yes","In person on election day"
"1567",1567,29,"yes","Independent","Yes","In person on election day"
"1568",1568,27,"yes","Independent","Yes","In person on election day"
"1569",1569,33,"yes","Democrat","Yes","In person on election day"
"1570",1570,65,"yes","Democrat","Yes","In person early"
"1571",1571,76,"yes","Republican","Yes","In person on election day"
"1572",1572,63,"yes","Independent","Yes","Voted by mail or absentee"
"1573",1573,28,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1574",1574,31,"no","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"1575",1575,65,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1576",1576,70,"yes","Independent","Yes","In person on election day"
"1577",1577,26,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1578",1578,44,"yes","Independent","Yes","In person on election day"
"1579",1579,34,"yes","Democrat","Yes","In person on election day"
"1580",1580,80,"yes","Republican","Yes","In person early"
"1581",1581,69,"yes","Republican","Yes","In person on election day"
"1582",1582,69,"yes","Republican","Yes","Voted by mail or absentee"
"1583",1583,47,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1584",1584,37,"yes","Democrat","Yes","In person on election day"
"1585",1585,61,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1586",1586,30,"yes","Republican","Yes","Voted by mail or absentee"
"1587",1587,73,"yes","Independent","Yes","Voted by mail or absentee"
"1588",1588,30,"yes","Democrat","Yes","Voted by mail or absentee"
"1589",1589,81,"yes","Democrat","Yes","In person on election day"
"1590",1590,37,"yes","Democrat","Yes","In person on election day"
"1591",1591,33,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1592",1592,70,"yes","Republican","Yes","In person on election day"
"1593",1593,30,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1594",1594,58,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1595",1595,71,"yes","Republican","Yes","In person on election day"
"1596",1596,78,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1597",1597,26,"yes","Republican","Yes","In person on election day"
"1598",1598,34,"yes","Democrat","Yes","In person on election day"
"1599",1599,24,"yes","Republican","Yes","Voted by mail or absentee"
"1600",1600,28,"yes","Other","Yes","In person early"
"1601",1601,25,"no","Independent","Yes","Dontknow_skipped_notasked"
"1602",1602,58,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1603",1603,74,"yes","Republican","Yes","In person on election day"
"1604",1604,30,"yes","Democrat","Yes","In person on election day"
"1605",1605,64,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1606",1606,71,"yes","Republican","Yes","Voted by mail or absentee"
"1607",1607,70,"yes","Democrat","Yes","In person early"
"1608",1608,56,"yes","Democrat","Yes","In person on election day"
"1609",1609,78,"yes","Republican","Yes","Voted by mail or absentee"
"1610",1610,26,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1611",1611,31,"yes","Democrat","Yes","In person early"
"1612",1612,60,"yes","Republican","Yes","In person on election day"
"1613",1613,62,"yes","Democrat","Yes","Voted by mail or absentee"
"1614",1614,31,"yes","Independent","Yes","Voted by mail or absentee"
"1615",1615,30,"yes","Democrat","Yes","Voted by mail or absentee"
"1616",1616,62,"yes","Republican","Yes","In person on election day"
"1617",1617,33,"yes","Democrat","Yes","Voted by mail or absentee"
"1618",1618,28,"yes","Democrat","Yes","In person early"
"1619",1619,58,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1620",1620,66,"yes","Republican","Yes","In person on election day"
"1621",1621,34,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1622",1622,32,"yes","NAorMissing","No","In person on election day"
"1623",1623,48,"yes","Democrat","Yes","In person early"
"1624",1624,23,"no","Independent","Yes","Dontknow_skipped_notasked"
"1625",1625,66,"yes","Democrat","Yes","Voted by mail or absentee"
"1626",1626,55,"yes","Democrat","Yes","In person early"
"1627",1627,53,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1628",1628,66,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1629",1629,83,"yes","Republican","Yes","In person on election day"
"1630",1630,76,"yes","Democrat","Yes","In person on election day"
"1631",1631,75,"yes","Republican","Yes","Voted by mail or absentee"
"1632",1632,27,"yes","Republican","Yes","In person early"
"1633",1633,24,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1634",1634,54,"yes","Democrat","Yes","In person early"
"1635",1635,70,"yes","Democrat","Yes","In person on election day"
"1636",1636,69,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1637",1637,67,"yes","Republican","Yes","In person early"
"1638",1638,34,"yes","Democrat","Yes","In person early"
"1639",1639,67,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1640",1640,63,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1641",1641,30,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1642",1642,74,"yes","Republican","Yes","Voted by mail or absentee"
"1643",1643,61,"yes","Democrat","Yes","In person on election day"
"1644",1644,73,"yes","Independent","Yes","Voted by mail or absentee"
"1645",1645,41,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1646",1646,32,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1647",1647,35,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1648",1648,61,"yes","Democrat","Yes","In person on election day"
"1649",1649,32,"yes","Independent","Yes","In person on election day"
"1650",1650,37,"no","Independent","Yes","Dontknow_skipped_notasked"
"1651",1651,58,"yes","Independent","Yes","In person on election day"
"1652",1652,35,"yes","Republican","Yes","In person early"
"1653",1653,27,"yes","Independent","Yes","Voted by mail or absentee"
"1654",1654,32,"yes","Independent","Yes","In person on election day"
"1655",1655,28,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1656",1656,33,"yes","Democrat","Yes","Voted by mail or absentee"
"1657",1657,34,"no","Independent","Yes","In person on election day"
"1658",1658,47,"yes","Republican","Yes","In person on election day"
"1659",1659,54,"no","Republican","Yes","In person early"
"1660",1660,60,"yes","Republican","Yes","In person on election day"
"1661",1661,67,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1662",1662,72,"yes","Republican","Yes","In person on election day"
"1663",1663,48,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1664",1664,61,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1665",1665,55,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1666",1666,44,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1667",1667,66,"yes","Independent","Yes","Voted by mail or absentee"
"1668",1668,59,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1669",1669,29,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1670",1670,33,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1671",1671,62,"yes","Republican","Yes","Voted by mail or absentee"
"1672",1672,38,"yes","Independent","Yes","In person on election day"
"1673",1673,34,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1674",1674,31,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1675",1675,57,"yes","Republican","Yes","In person on election day"
"1676",1676,33,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1677",1677,34,"yes","Republican","Yes","In person on election day"
"1678",1678,68,"yes","Republican","Yes","In person on election day"
"1679",1679,26,"yes","Independent","Yes","In person on election day"
"1680",1680,46,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1681",1681,33,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1682",1682,23,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1683",1683,54,"yes","Republican","Yes","In person on election day"
"1684",1684,54,"yes","Independent","Yes","In person on election day"
"1685",1685,32,"yes","Independent","Yes","In person on election day"
"1686",1686,50,"yes","Democrat","Yes","In person early"
"1687",1687,70,"yes","Democrat","Yes","In person on election day"
"1688",1688,71,"yes","Independent","Yes","Voted by mail or absentee"
"1689",1689,57,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1690",1690,61,"yes","Republican","Yes","Voted by mail or absentee"
"1691",1691,61,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1692",1692,33,"yes","Independent","Yes","In person on election day"
"1693",1693,78,"yes","Republican","Yes","In person on election day"
"1694",1694,52,"yes","Independent","Yes","In person on election day"
"1695",1695,70,"yes","Democrat","Yes","In person on election day"
"1696",1696,29,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1697",1697,71,"yes","Democrat","Yes","In person on election day"
"1698",1698,32,"yes","Democrat","Yes","Voted by mail or absentee"
"1699",1699,39,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1700",1700,29,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1701",1701,40,"yes","Independent","Yes","Voted by mail or absentee"
"1702",1702,74,"yes","Democrat","Yes","Voted by mail or absentee"
"1703",1703,25,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1704",1704,80,"yes","Republican","Yes","In person on election day"
"1705",1705,77,"yes","Republican","Yes","In person on election day"
"1706",1706,84,"yes","Independent","Yes","In person on election day"
"1707",1707,74,"yes","Republican","Yes","Voted by mail or absentee"
"1708",1708,63,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1709",1709,30,"NAorMissing","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"1710",1710,54,"yes","Democrat","Yes","In person on election day"
"1711",1711,26,"yes","Republican","Yes","In person on election day"
"1712",1712,39,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1713",1713,66,"yes","Democrat","Yes","In person on election day"
"1714",1714,75,"yes","Republican","Yes","Voted by mail or absentee"
"1715",1715,57,"yes","Democrat","Yes","In person early"
"1716",1716,60,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1717",1717,63,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1718",1718,57,"no","Independent","Yes","Dontknow_skipped_notasked"
"1719",1719,26,"no","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"1720",1720,73,"yes","Republican","Yes","In person on election day"
"1721",1721,74,"yes","Republican","Yes","In person on election day"
"1722",1722,88,"yes","Democrat","Yes","Voted by mail or absentee"
"1723",1723,45,"yes","Democrat","Yes","In person early"
"1724",1724,62,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1725",1725,55,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1726",1726,68,"yes","Republican","Yes","In person on election day"
"1727",1727,74,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1728",1728,85,"yes","Democrat","Yes","Voted by mail or absentee"
"1729",1729,75,"yes","Democrat","Yes","In person on election day"
"1730",1730,77,"yes","Republican","Yes","In person early"
"1731",1731,27,"yes","Democrat","Yes","Voted by mail or absentee"
"1732",1732,32,"yes","NAorMissing","No","In person on election day"
"1733",1733,34,"yes","Democrat","Yes","In person on election day"
"1734",1734,74,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1735",1735,46,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1736",1736,83,"yes","Republican","Yes","In person on election day"
"1737",1737,32,"no","Democrat","Yes","Dontknow_skipped_notasked"
"1738",1738,32,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1739",1739,64,"no","Independent","Yes","Dontknow_skipped_notasked"
"1740",1740,83,"yes","Republican","Yes","In person on election day"
"1741",1741,72,"yes","Republican","Yes","Voted by mail or absentee"
"1742",1742,60,"yes","Republican","Yes","In person early"
"1743",1743,69,"yes","Democrat","Yes","Voted by mail or absentee"
"1744",1744,40,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1745",1745,75,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1746",1746,38,"yes","Republican","Yes","In person on election day"
"1747",1747,34,"yes","Republican","Yes","In person on election day"
"1748",1748,76,"yes","Republican","Yes","In person on election day"
"1749",1749,77,"yes","Republican","Yes","Voted by mail or absentee"
"1750",1750,63,"yes","Republican","Yes","In person on election day"
"1751",1751,26,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1752",1752,74,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1753",1753,63,"yes","Other","Yes","Voted by mail or absentee"
"1754",1754,53,"yes","Republican","Yes","In person early"
"1755",1755,68,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1756",1756,57,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1757",1757,60,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1758",1758,64,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1759",1759,63,"yes","Independent","Yes","In person on election day"
"1760",1760,72,"yes","Independent","Yes","In person on election day"
"1761",1761,29,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1762",1762,64,"yes","Democrat","Yes","Voted by mail or absentee"
"1763",1763,50,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1764",1764,75,"yes","Republican","Yes","Voted by mail or absentee"
"1765",1765,30,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1766",1766,61,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1767",1767,65,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1768",1768,78,"yes","Democrat","Yes","In person on election day"
"1769",1769,74,"yes","Republican","Yes","Voted by mail or absentee"
"1770",1770,32,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1771",1771,28,"yes","Republican","Yes","In person on election day"
"1772",1772,40,"yes","Republican","Yes","Voted by mail or absentee"
"1773",1773,66,"yes","Republican","Yes","Voted by mail or absentee"
"1774",1774,31,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"1775",1775,51,"yes","Republican","Yes","In person on election day"
"1776",1776,26,"yes","Independent","Yes","In person on election day"
"1777",1777,55,"yes","Democrat","Yes","In person on election day"
"1778",1778,33,"yes","Democrat","Yes","Voted by mail or absentee"
"1779",1779,25,"yes","Other","Yes","In person on election day"
"1780",1780,23,"yes","Democrat","Yes","In person early"
"1781",1781,58,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1782",1782,32,"yes","Independent","Yes","Voted by mail or absentee"
"1783",1783,48,"yes","Democrat","Yes","In person on election day"
"1784",1784,26,"yes","Democrat","Yes","Voted by mail or absentee"
"1785",1785,24,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1786",1786,72,"yes","Republican","Yes","Voted by mail or absentee"
"1787",1787,68,"yes","NAorMissing","No","In person on election day"
"1788",1788,28,"yes","Republican","Yes","In person on election day"
"1789",1789,68,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1790",1790,64,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1791",1791,66,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1792",1792,64,"yes","Democrat","Yes","Voted by mail or absentee"
"1793",1793,27,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"1794",1794,41,"no","Democrat","Yes","In person on election day"
"1795",1795,24,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"1796",1796,72,"yes","Democrat","Yes","In person on election day"
"1797",1797,74,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1798",1798,57,"no","Independent","Yes","Dontknow_skipped_notasked"
"1799",1799,35,"yes","Democrat","Yes","In person on election day"
"1800",1800,34,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1801",1801,35,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1802",1802,51,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1803",1803,66,"yes","Democrat","Yes","Voted by mail or absentee"
"1804",1804,33,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"1805",1805,61,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
